Player,year_born,Cluster 1,VORP 1,WS 1,Cluster 2,VORP 2,WS 2,Cluster 3,VORP 3,WS 3,Cluster 4,VORP 4,WS 4,Cluster 5,VORP 5,WS 5,Cluster 6,VORP 6,WS 6,Cluster 7,VORP 7,WS 7,Cluster 8,VORP 8,WS 8,Cluster 9,VORP 9,WS 9,Cluster 10,VORP 10,WS 10,Cluster 11,VORP 11,WS 11,Cluster 12,VORP 12,WS 12,Cluster 13,VORP 13,WS 13,Cluster 14,VORP 14,WS 14,Cluster 15,VORP 15,WS 15,Cluster 16,VORP 16,WS 16,Cluster 17,VORP 17,WS 17,Cluster 18,VORP 18,WS 18,Cluster 19,VORP 19,WS 19,Cluster 20,VORP 20,WS 20,Cluster 21,VORP 21,WS 21
Michael Bradley,1979,,,,4,-0.2,1.5,3,-0.2,0.0,0,-0.1,0.2,3,-0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Rush,1980,7,-1.1,-0.6,5,-0.3,1.5,5,-0.4,0.1,5,-0.6,-0.2,,,,5,-0.4,1.0,7,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Novak,1983,7,0.0,0.4,5,0.1,1.1,5,0.0,2.2,5,-0.3,0.3,5,0.1,0.9,5,0.8,3.9,5,0.8,4.0,5,0.2,1.4,5,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Harrington,1980,7,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike James,1975,,,,8,0.2,1.8,8,1.2,5.2,8,1.6,4.3,1,2.9,7.6,8,-0.2,2.8,7,-0.5,0.3,8,-0.8,-0.1,,,,,,,7,0.0,0.3,7,-0.3,0.4,7.0,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,
Michael Stewart,1975,,,,,,,,,,,,,,,,3,-0.3,0.1,3,-0.2,0.2,0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Barron,1981,,,,3,-0.4,-0.3,3,-1.3,-0.4,,,,,,,3,-0.3,-0.2,,,,3,-0.2,0.0,,,,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Gardner,1985,,,,7,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Morris,1991,7,-0.3,-0.2,7,-0.4,0.2,7,-0.3,0.0,7,-0.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrence Jones,1992,0,0.3,0.7,4,2.2,7.3,0,0.7,3.0,0,-0.4,1.5,4,0.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Kapono,1981,7,-0.2,0.5,5,-0.7,1.3,5,-0.2,1.2,5,0.6,4.2,5,-0.1,1.9,5,-0.7,0.8,5,-0.5,0.5,3,-0.2,-0.2,7,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cartier Martin,1984,7,-0.1,0.4,7,-0.3,0.1,5,-0.1,0.8,5,0.0,0.7,5,-0.3,0.7,5,-0.2,1.3,7,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Harper,1989,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimbo Coles,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,-0.8,0.0,7.0,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,
Andres Nocioni,1979,4,-0.1,2.5,2,1.7,6.7,2,0.5,4.1,2,-0.2,3.3,2,0.0,2.8,5,-0.5,1.3,5,-0.2,1.3,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph Morris,1986,,,,3,-0.4,-0.2,3,-0.1,0.0,0,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mickell Gladness,1986,3,-0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maalik Wayns,1991,7,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Gaines,1981,7,-0.5,-0.5,7,-0.2,-0.1,7,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahntay Jones,1980,3,-0.2,-0.4,5,-0.3,0.9,7,-0.7,0.6,8,-0.9,0.7,0,-0.1,0.4,5,-0.1,2.0,8,-0.8,1.8,5,-0.2,1.2,5,0.0,2.0,7,-0.8,0.6,,,,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Wilks,1979,7,-0.2,0.7,7,0.0,0.5,7,0.0,0.6,7,-0.4,-0.3,7,-0.2,0.8,7,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Alabi,1988,3,-0.1,-0.2,3,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Jackson,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.2,2.5,2,2.8,6.6,2.0,1.1,3.2,3.0,-0.6,-0.8,,,,,,,,,,,,,,,,,,,,,
Earl Watson,1979,,,,8,0.8,2.3,8,0.0,1.8,8,0.3,2.3,8,0.8,2.7,8,0.4,2.0,8,0.3,2.9,8,-1.4,-0.2,8,0.3,2.6,8,-0.3,1.0,7,0.1,0.4,7,-0.5,0.0,7.0,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Bairstow,1990,3,-0.1,-0.1,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Walton,1980,7,0.3,1.6,7,0.0,0.5,5,0.2,2.0,8,1.3,3.8,8,0.8,3.2,5,0.2,2.0,7,-0.1,0.3,7,-0.5,-0.2,7,-0.4,-0.4,7,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,1990,7,-0.3,-0.5,5,0.2,2.4,5,-0.2,0.4,2,-0.2,1.8,2,0.2,2.5,2,1.4,4.8,2,0.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanthony Early,1991,7,-0.5,-0.4,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Trepagnier,1979,,,,,,,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Reiner,1982,3,-0.2,0.0,,,,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergey Karasev,1993,7,-0.2,-0.1,7,0.1,0.7,7,-0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Goldwire,1971,,,,,,,,,,,,,,,,,,,,,,7,-0.1,-0.1,7,0.0,0.1,5,0.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Jeffries,1981,0,0.0,0.3,4,-0.7,0.6,4,0.7,2.6,4,1.4,3.1,0,0.8,1.2,0,-0.3,0.1,0,0.5,1.2,4,1.0,2.2,3,0.3,0.6,0,0.4,1.7,3,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Williams,1972,,,,,,,,,,,,,,,,,,,,,,4,1.0,6.0,8,-0.1,3.1,5,0.0,2.1,3,-0.3,0.1,7,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Graham,1982,3,-0.2,0.0,7,-0.2,-0.1,5,0.1,0.4,7,-0.8,0.0,5,-0.3,1.6,7,-0.9,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Daye,1988,5,-0.2,1.3,5,0.3,2.1,3,-0.6,-0.6,5,0.2,1.6,7,0.0,0.1,7,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis,1990,5,0.1,1.9,5,0.4,0.9,5,0.8,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ha Seung-Jin,1985,3,-0.2,-0.2,0,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Satterfield,1981,,,,7,-0.7,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Thomas,1977,,,,,,,,,,4,1.1,4.6,6,1.8,6.6,4,0.5,4.3,4,1.6,5.5,4,0.1,1.2,3,-0.3,-0.3,,,,0,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britton Johnsen,1979,3,-0.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Miles,1987,7,0.0,0.3,7,-0.4,-0.5,5,0.4,1.9,5,0.4,2.9,5,0.3,1.9,2,0.2,2.5,5,0.1,1.5,2,0.3,2.6,5,0.7,2.5,2,0.8,3.6,2,0.7,3.1,2,0.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Anderson,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0,1.6,7.0,-0.1,1.5,7.0,-0.4,0.2,,,,,,,,,,,,,,,,,,,,,
Ryan Humphrey,1979,3,-0.7,-0.5,,,,3,-0.4,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Pavlovic,1983,5,-0.5,0.9,5,-0.5,0.8,5,-0.4,0.5,8,0.5,3.1,7,-0.9,0.2,5,0.0,1.7,7,-1.1,-1.2,7,0.0,0.3,7,-0.1,0.4,7,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Morrison,1984,8,-2.0,-1.5,,,,7,-0.6,0.0,7,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamady N'Diaye,1987,0,-0.1,0.1,,,,,,,3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adreian Payne,1991,3,-0.7,-0.5,3,-0.5,-0.5,0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J. Wilcox,1990,7,-0.1,0.0,7,0.0,0.3,7,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doron Lamb,1991,7,-0.8,-0.4,5,-0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Amaechi,1970,,,,,,,,,,,,,,,,,,,,,,3,-0.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ervin Johnson,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4,1.9,0,0.4,2.3,0,-0.1,0.8,3.0,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Eric Snow,1973,,,,,,,,,,,,,,,,,,,,,,1,2.3,8.4,8,0.6,5.5,8,-0.7,1.9,8,-0.3,2.1,8,-0.5,2.8,3.0,-0.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,
Samaki Walker,1976,,,,,,,,,,,,,,,,,,,4,-0.2,2.1,3,-0.3,0.7,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Thomas,1975,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.9,3,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazar Hayward,1986,7,-0.2,0.3,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Garrity,1976,,,,,,,,,,,,,2,1.2,4.9,,,,5,-0.5,1.1,5,0.0,1.2,7,-0.1,0.2,3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumaine Jones,1979,,,,,,,,,,2,0.4,2.9,3,-0.2,0.1,2,0.8,3.7,2,0.4,3.0,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShawn Stevenson,1981,,,,,,,7,-0.9,-0.1,8,-0.9,1.5,7,-1.1,-0.1,8,-0.4,2.4,8,0.2,3.1,2,1.1,4.1,7,-0.6,-0.6,7,-0.7,-0.4,5,0.5,1.8,7,-0.6,-0.3,5.0,0.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Malik Allen,1978,,,,4,-1.1,0.9,3,-0.4,0.7,0,0.0,1.1,0,-0.3,1.0,3,-0.5,1.0,0,-0.5,1.0,3,-0.4,0.3,3,-0.3,0.1,3,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cardinal,1977,,,,,,,,,,2,2.2,7.2,8,1.4,3.5,7,0.0,0.6,5,0.4,0.9,7,-0.3,0.0,5,0.3,0.9,7,-0.1,0.4,5,0.7,1.7,7,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Williams,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.4,3.7,4,0.4,3.4,3,-0.3,0.3,0.0,0.0,1.6,0.0,-0.1,0.7,0.0,0.0,0.4,,,,,,,,,,,,,,,,,,
Justin Reed,1982,7,0.0,0.3,7,-0.9,0.4,3,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Robinson,1984,8,0.2,1.5,8,0.7,3.2,8,0.9,3.2,1,2.6,5.9,8,0.6,2.2,5,0.1,1.1,8,0.6,2.8,8,1.9,5.9,5,0.4,1.8,7,-0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Douglas-Roberts,1987,7,-0.4,0.6,8,-0.9,0.7,7,-0.1,1.6,,,,,,,5,0.5,2.4,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Leuer,1989,0,0.1,1.4,7,-0.1,0.2,5,0.1,2.0,0,-0.2,1.3,4,0.3,2.7,2,1.1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Selby,1991,7,-0.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tornike Shengelia,1991,3,-0.1,0.0,7,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,1994,5,-0.5,0.5,4,0.4,2.1,5,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Forte,1981,,,,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedo Turkoglu,1979,,,,,,,5,-0.1,2.6,2,2.2,6.7,2,0.5,3.4,2,2.8,7.6,2,1.8,4.9,1,4.1,9.0,1,2.9,7.3,2,1.7,3.4,2,3.0,6.8,8,0.9,2.1,3.0,-0.3,-0.5,5.0,0.2,0.8,5.0,0.2,1.2,,,,,,,,,,,,,,,,,,
Sasha Vujacic,1984,7,-0.2,0.2,5,-0.1,2.0,5,0.2,1.8,5,0.6,3.6,5,0.9,3.7,5,0.2,1.4,5,0.6,2.1,,,,,,,,,,,,,5,0.1,1.1,7.0,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Jones,1984,7,-0.2,0.3,5,-0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Sacre,1989,3,-0.3,-0.1,0,-0.1,1.4,0,-0.2,0.8,3,-0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ognjen Kuzmic,1990,3,-0.1,0.0,0,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trenton Hassell,1979,,,,5,-0.6,-0.1,5,1.0,4.0,5,0.1,2.7,8,-0.2,2.3,5,0.1,2.6,7,-0.5,0.2,7,-0.3,0.7,7,-0.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Wolters,1991,5,-0.5,1.2,7,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibor Pleiss,1989,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddy Curry,1982,,,,4,-0.4,3.5,6,-0.7,3.0,4,0.1,4.3,4,-1.0,3.3,6,-0.6,4.7,4,-1.0,1.7,,,,,,,,,,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Curry,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-0.1,2.0,7,-1.1,0.3,7,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Howard,1973,,,,,,,,,,,,,,,,,,,,,,,,,6,2.2,6.0,6,-0.6,3.6,4,0.3,3.2,4,-0.2,3.7,4.0,0.1,4.9,3.0,-0.3,0.1,0.0,-0.2,0.7,4.0,0.1,2.6,0.0,-0.3,0.9,3.0,-0.3,-0.3,,,,,,,,,
Art Long,1972,,,,,,,3,-0.4,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Scalabrine,1978,,,,0,-0.1,1.0,0,-0.3,1.7,0,0.1,1.4,5,-0.4,0.3,5,0.1,0.9,3,-0.1,0.6,5,0.1,1.1,7,-0.2,0.2,7,0.0,0.1,0,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Garcia,1981,5,0.2,1.6,5,0.5,2.4,2,1.4,4.2,2,0.9,2.4,5,0.1,1.0,5,0.9,3.0,5,0.2,0.8,5,0.4,1.3,5,0.5,1.8,7,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherron Collins,1987,7,-0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Young,1995,7,-0.2,0.3,7,-0.1,0.1,7,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Babb,1990,7,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Marks,1975,,,,,,,,,,,,,3,-0.4,-0.2,,,,3,-0.2,0.2,0,0.0,0.6,,,,0,0.0,0.3,0,-0.5,1.2,0,0.0,0.2,3.0,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Elson,1976,0,0.2,1.8,0,0.1,1.6,4,0.6,2.9,4,0.6,3.1,3,-0.9,0.0,0,0.5,1.8,3,-0.1,0.0,0,-0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didier Ilunga-Mbenga,1980,3,-0.1,0.0,0,0.0,0.5,3,0.0,0.1,0,0.0,0.4,0,0.1,0.3,0,-0.1,0.6,0,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Morris,1989,3,-0.3,-0.2,5,0.0,1.8,2,1.0,4.2,2,0.8,4.0,2,2.0,5.4,2,1.0,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny O'Bryant,1993,3,-0.7,-0.5,3,-0.9,0.3,0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Armstrong,1980,,,,7,-0.1,-0.1,7,-0.7,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Schenscher,1982,0,0.0,0.3,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Bowen,1975,,,,,,,,,,0,0.8,2.1,3,0.2,0.8,7,0.0,1.1,3,-0.4,0.2,,,,0,0.5,1.5,7,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamison Brewer,1980,,,,,,,7,-0.1,0.0,7,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Banks,1981,8,-0.5,0.7,8,0.2,1.9,8,0.1,2.3,7,-0.3,0.4,5,0.0,0.8,7,-0.2,0.0,7,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daequan Cook,1987,5,-1.1,-0.4,5,-0.5,2.2,7,-0.4,0.1,5,0.3,1.6,5,-0.1,1.6,7,-0.6,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Ennis,1994,7,-0.5,-0.3,7,-0.5,0.4,7,-0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Payne,1994,5,0.1,1.4,7,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quincy Lewis,1977,,,,,,,,,,,,,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Freije,1981,3,-0.4,-0.5,,,,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Thomas,1980,0,0.0,0.2,0,-0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Higgins,1989,7,-1.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Hodge,1983,3,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Vaughn,1996,7,-1.0,-0.8,7,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Croshere,1975,,,,,,,,,,,,,,,,0,0.3,2.0,5,0.5,3.4,4,0.8,4.1,5,1.2,4.1,3,-0.1,1.3,5,0.0,1.1,3,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Fortson,1976,,,,,,,,,,,,,,,,3,-0.1,0.2,0,-0.1,2.3,4,-0.2,4.3,0,-0.4,0.2,3,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smush Parker,1981,8,-0.7,0.1,,,,7,-0.2,-0.1,2,2.1,5.8,8,0.4,2.3,7,-0.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiri Welsch,1980,3,-0.4,-0.4,8,0.7,3.6,5,-0.2,1.7,7,-0.3,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Santiago,1976,,,,,,,,,,0,0.0,1.2,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Brackins,1987,,,,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ish Smith,1988,7,-0.5,-0.1,7,0.0,0.3,7,-0.5,-0.4,7,-0.1,1.0,7,-0.4,-0.1,8,0.1,1.3,8,0.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Harrison,1994,3,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephon Marbury,1977,,,,,,,,,,,,,,,,,,,1,3.6,9.6,1,3.4,9.1,1,4.4,11.7,8,0.9,3.9,1,1.5,5.9,7,0.1,1.1,7.0,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,
Linton Johnson,1980,3,-0.1,0.4,,,,3,-0.2,0.4,0,0.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ruffin,1977,,,,,,,,,,,,,3,0.0,0.2,0,0.7,1.9,0,0.4,1.7,3,-0.1,0.0,0,0.4,1.2,3,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Gomes,1982,4,0.1,3.1,4,0.5,4.2,2,1.1,4.8,2,0.5,2.5,2,0.2,2.4,5,0.5,2.5,3,-0.4,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DaJuan Summers,1988,7,-0.4,0.0,7,-0.4,-0.3,7,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Pargo,1986,7,-0.6,-0.8,7,-0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Drew,1974,,,,,,,,,,,,,7,-0.1,0.0,7,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Griffin,1974,,,,,,,,,,5,1.0,2.9,3,0.0,0.1,7,0.4,1.3,0,1.4,2.9,7,0.3,1.3,7,-0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Jacobsen,1981,5,-0.2,1.2,5,0.3,2.6,5,0.0,2.7,,,,,,,7,-0.6,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olowokandi,1975,,,,,,,,,,,,,4,-0.7,-0.2,0,-0.3,1.2,4,-0.6,1.2,0,-0.7,0.3,3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
