Player,year_born,Cluster 1,VORP 1,WS 1,Cluster 2,VORP 2,WS 2,Cluster 3,VORP 3,WS 3,Cluster 4,VORP 4,WS 4,Cluster 5,VORP 5,WS 5,Cluster 6,VORP 6,WS 6,Cluster 7,VORP 7,WS 7,Cluster 8,VORP 8,WS 8,Cluster 9,VORP 9,WS 9,Cluster 10,VORP 10,WS 10,Cluster 11,VORP 11,WS 11,Cluster 12,VORP 12,WS 12,Cluster 13,VORP 13,WS 13,Cluster 14,VORP 14,WS 14,Cluster 15,VORP 15,WS 15,Cluster 16,VORP 16,WS 16,Cluster 17,VORP 17,WS 17,Cluster 18,VORP 18,WS 18,Cluster 19,VORP 19,WS 19,Cluster 20,VORP 20,WS 20,Cluster 21,VORP 21,WS 21
Shelvin Mack,1990,7,-0.4,0.7,7,-0.2,0.5,8,-0.1,2.3,7,-0.2,1.3,8,0.2,1.3,5,0.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Jackson,1985,3,-0.2,0.8,3,-0.2,-0.3,0,-0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Jackson,1981,,,,7,-0.2,0.0,7,0.0,0.1,7,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic McGuire,1985,3,-0.2,0.0,4,0.8,1.7,3,-0.4,-0.2,0,-0.1,0.9,0,0.4,1.5,3,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Mason,1980,7,-0.1,0.1,7,-0.3,0.1,,,,,,,7,-0.5,-0.1,2,0.5,3.4,2,1.0,4.7,5,0.1,1.9,7,-0.2,0.2,5,-0.2,0.9,5,0.1,1.4,7,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Archibald,1980,3,-0.2,-0.2,3,-0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewayne Dedmon,1989,0,-0.4,0.6,0,-0.3,1.7,0,0.1,2.4,4,1.2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Bryant,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,-0.2,-0.1,,,,,,,,,,,,,,,,,,
Dan Dickau,1978,7,-0.6,0.0,7,-0.2,0.0,8,0.9,3.5,7,-0.1,0.4,7,-0.1,0.4,5,-0.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarre Carroll,1986,7,-0.4,0.5,3,0.0,0.1,7,0.1,0.5,5,1.1,3.1,2,2.4,5.8,2,2.7,7.0,5,0.4,1.2,2,1.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Murphy,1990,3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Ager,1984,3,-0.4,-0.3,3,-0.4,-0.4,3,-0.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Smith,1975,,,,,,,,,,,,,,,,,,,,,,4,0.3,3.0,6,1.5,6.3,4,1.1,5.5,0,0.0,2.3,4,-0.3,2.8,4.0,0.0,4.1,0.0,0.0,2.7,3.0,-0.4,0.9,3.0,-0.1,-0.1,,,,,,,,,,,,,,,
Sonny Weems,1986,3,-0.2,-0.3,5,0.0,1.3,5,-1.0,-0.4,,,,,,,,,,,,,7,-0.7,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateen Cleaves,1977,,,,,,,3,-0.2,-0.4,,,,7,0.0,0.0,7,-0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.R. Bremer,1980,5,0.0,3.0,7,-0.4,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikki Moore,1975,,,,,,,,,,,,,,,,0,0.1,1.0,4,0.1,2.6,0,-0.4,0.1,4,1.1,5.7,4,0.7,4.6,0,-0.1,2.1,0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Glyniadakis,1981,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald Sloan,1988,7,-0.7,-0.3,7,-0.3,0.1,7,-0.3,0.3,5,0.2,2.0,8,-0.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,1991,7,-0.3,0.2,7,-0.2,0.1,5,0.2,1.2,5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dee Brown,1984,7,-0.2,0.2,,,,7,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Montero,1993,3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Rigaudeau,1971,3,-0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alton Ford,1981,,,,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Hunter,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-0.4,-0.6,7,0.2,0.9,8,0.2,1.4,7.0,0.0,0.5,7.0,0.1,1.3,7.0,0.0,0.2,7.0,-0.1,0.0,3.0,-0.2,-0.3,,,,,,,,,,,,
Alonzo Gee,1987,0,0.0,0.4,5,-0.1,1.0,8,0.7,2.4,2,0.3,1.9,5,-0.2,0.9,5,0.2,1.2,5,0.5,1.9,3,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Murray,1979,7,-0.2,-0.3,8,-0.1,1.7,7,-0.6,-0.3,8,-0.9,0.7,8,-0.4,1.3,7,-0.3,0.4,8,0.3,3.1,8,-0.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
